timestamp,model,precision,meter,prompts_count,batch_size,max_new_tokens,energy_j,duration_s_total,tokens_generated,emissions_kg,carbon_intensity_g_per_kwh,j_per_token,tokens_per_joule,latency_p50_s,latency_p95_s,co2e_g_total,co2e_g_per_1k_tokens
2025-10-24T12:24:49.467306,TinyLlama/TinyLlama-1.1B-Chat-v1.0,auto,nvml,3,1,64,0.0,7.277597188949585,129,,300.0,0.0,,2.478682279586792,2.478682279586792,0.0,0.0
2025-10-24T14:16:23.085833,TinyLlama/TinyLlama-1.1B-Chat-v1.0,auto,nvml,3,1,64,0.0,4.06673002243042,129,,300.0,0.0,,1.630082130432129,1.630082130432129,0.0,0.0
2025-10-24T14:48:50.383820,TinyLlama/TinyLlama-1.1B-Chat-v1.0,auto,nvml,3,1,64,0.0,3.8494088649749756,129,,300.0,0.0,,1.612051248550415,1.612051248550415,0.0,0.0
2025-10-24T14:49:45.395883,TinyLlama/TinyLlama-1.1B-Chat-v1.0,auto,nvml,4,1,64,0.0,4.4643778800964355,131,,300.0,0.0,,0.5615310668945312,1.6508140563964844,0.0,0.0
2025-10-24T15:06:37.229033,Qwen/Qwen3-0.6B,auto,nvml,4,1,64,0.0,11.338197946548462,256,,300.0,0.0,,1.706387996673584,2.01416015625,0.0,0.0
2025-10-24T15:08:21.118508,Qwen/Qwen3-0.6B,auto,nvml,4,1,64,0.0,7.498848915100098,256,,300.0,0.0,,1.695335865020752,1.7503430843353271,0.0,0.0
2025-10-24T15:08:56.484318,Qwen/Qwen3-0.6B,auto,nvml,4,1,64,0.0,8.196956157684326,256,,300.0,0.0,,1.732280969619751,2.2867839336395264,0.0,0.0
2025-10-24T15:09:47.056560,Qwen/Qwen3-0.6B,auto,nvml,5,1,64,0.0,9.91640591621399,320,,300.0,0.0,,1.7679526805877686,2.2380948066711426,0.0,0.0
2025-10-24T15:11:06.899789,Qwen/Qwen3-0.6B,auto,nvml,6,1,64,0.0,11.353042125701904,384,,300.0,0.0,,1.7978341579437256,1.9472742080688477,0.0,0.0
2025-10-24T15:16:39.000813,Qwen/Qwen3-0.6B,auto,nvml,7,1,64,0.0,12.91920804977417,448,,300.0,0.0,,1.7623133659362793,2.0295112133026123,0.0,0.0
2025-10-24T15:17:23.759768,TinyLlama/TinyLlama-1.1B-Chat-v1.0,auto,nvml,7,1,64,0.0,10.619232177734375,323,,300.0,0.0,,1.9985759258270264,2.1674840450286865,0.0,0.0
2025-10-24T15:18:41.622987,TinyLlama/TinyLlama-1.1B-Chat-v1.0,auto,nvml,7,1,64,0.0,8.949198007583618,306,,300.0,0.0,,1.6039512157440186,1.9836559295654297,0.0,0.0
2025-10-24T15:19:35.561357,TinyLlama/TinyLlama-1.1B-Chat-v1.0,auto,nvml,8,1,64,0.0,10.298128843307495,370,,300.0,0.0,,1.6073081493377686,1.7733149528503418,0.0,0.0
2025-10-24T15:20:25.220664,TinyLlama/TinyLlama-1.1B-Chat-v1.0,auto,nvml,8,1,64,0.0,10.725665092468262,370,,300.0,0.0,,1.6288080215454102,2.014711856842041,0.0,0.0
